mixture_ID,speaker_1_ID,speaker_1_sex
audio00000,female5,F
audio00001,female8,F
audio00002,female2,F
audio00003,female2,F
audio00004,female26,F
audio00005,male25,M
audio00006,male26,M
audio00007,female20,F
audio00008,female2,F
audio00009,female3,F
audio00010,female2,F
audio00011,male5,M
audio00012,male2,M
audio00013,female12,F
audio00014,female2,F
audio00015,male10,M
audio00016,male25,M
audio00017,male16,M
audio00018,female9,F
audio00019,female15,F
audio00020,male9,M
audio00021,female8,F
audio00022,male30,M
audio00023,male22,M
audio00024,female8,F
audio00025,male16,M
audio00026,female14,F
audio00027,female12,F
audio00028,male30,M
audio00029,male27,M
audio00030,female9,F
audio00031,male8,M
audio00032,male2,M
audio00033,male16,M
audio00034,female11,F
audio00035,male10,M
audio00036,female17,F
audio00037,male27,M
audio00038,female15,F
audio00039,female15,F
audio00040,male19,M
audio00041,male25,M
audio00042,male9,M
audio00043,male20,M
audio00044,male24,M
audio00045,male19,M
audio00046,female20,F
audio00047,female4,F
audio00048,male9,M
audio00049,female11,F
audio00050,male25,M
audio00051,female27,F
audio00052,female29,F
audio00053,female24,F
audio00054,male5,M
audio00055,female28,F
audio00056,female8,F
audio00057,female30,F
audio00058,male2,M
audio00059,female12,F
audio00060,female22,F
audio00061,female27,F
audio00062,male27,M
audio00063,female5,F
audio00064,male25,M
audio00065,female20,F
audio00066,female1,F
audio00067,male18,M
audio00068,male24,M
audio00069,female1,F
audio00070,female24,F
audio00071,male27,M
audio00072,male8,M
audio00073,female5,F
audio00074,female20,F
audio00075,male19,M
audio00076,female8,F
audio00077,female4,F
audio00078,female12,F
audio00079,female1,F
audio00080,male18,M
audio00081,male20,M
audio00082,male9,M
audio00083,female27,F
audio00084,male2,M
audio00085,female9,F
audio00086,female29,F
audio00087,male9,M
audio00088,female1,F
audio00089,female30,F
audio00090,female12,F
audio00091,male5,M
audio00092,female28,F
audio00093,female2,F
audio00094,male25,M
audio00095,female27,F
audio00096,female22,F
audio00097,male4,M
audio00098,male26,M
audio00099,male27,M
audio00100,female9,F
audio00101,female1,F
audio00102,female28,F
audio00103,male8,M
audio00104,male8,M
audio00105,male18,M
audio00106,male27,M
audio00107,male24,M
audio00108,male23,M
audio00109,female22,F
audio00110,male10,M
audio00111,female12,F
audio00112,female14,F
audio00113,male2,M
audio00114,male7,M
audio00115,female27,F
audio00116,female3,F
audio00117,male8,M
audio00118,male26,M
audio00119,male8,M
audio00120,female24,F
audio00121,male8,M
audio00122,male8,M
audio00123,male20,M
audio00124,female5,F
audio00125,female4,F
audio00126,male26,M
audio00127,male16,M
audio00128,female1,F
audio00129,male16,M
audio00130,male3,M
audio00131,female15,F
audio00132,female24,F
audio00133,female8,F
audio00134,male26,M
audio00135,female8,F
audio00136,female17,F
audio00137,male23,M
audio00138,male6,M
audio00139,male27,M
audio00140,male5,M
audio00141,female1,F
audio00142,male10,M
audio00143,male23,M
audio00144,female8,F
audio00145,female20,F
audio00146,female15,F
audio00147,female30,F
audio00148,female9,F
audio00149,female9,F
audio00150,male25,M
audio00151,male6,M
audio00152,female5,F
audio00153,male9,M
audio00154,female15,F
audio00155,male25,M
audio00156,male10,M
audio00157,male23,M
audio00158,male9,M
audio00159,female17,F
audio00160,male19,M
audio00161,female24,F
audio00162,male2,M
audio00163,female3,F
audio00164,female4,F
audio00165,male20,M
audio00166,male7,M
audio00167,male4,M
audio00168,male7,M
audio00169,male22,M
audio00170,female2,F
audio00171,female12,F
