speaker_ID,sex,subset,length,origin_path
male3,M,train,28236,audio/newsqa-4381a993d0eb42dfbfdac82a9810c4ed-c-10.wav
female5,F,train,28236,audio/quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#4-c-8.wav
male26,M,train,29722,audio/newsqa-6f56ea95ebd744488e896091d4290ced-c-3.wav
male4,M,train,29722,audio/newsqa-c6f8209065f74ff08f87de51878ecd30-c-2.wav
male8,M,train,32694,audio/quac-C_207b6af621e445289ae79262dfc3f3cb_0_q#1-c-11.wav
male4,M,train,32694,audio/quac-C_9ec34fccd14d44e587f1a2ad53188d71_1_q#4-q-0.wav
male25,M,train,35666,audio/newsqa-9123e824a768475c80af10519ce8a9b3-q-0.wav
male6,M,train,35666,audio/quac-C_4eb70ac453504815b1a0422105098435_0_q#2-q-0.wav
female8,F,train,37152,audio/newsqa-5b5d8369253048b9b1d0ded9e2005015-q-0.wav
female17,F,train,37152,audio/quac-C_7d5560b23977415f9b2fda38a973e3b6_1_q#4-q-0.wav
male26,M,train,38639,audio/quac-C_c3cfc709d47846159c737bbe00494fc5_1_q#4-q-0.wav
male2,M,train,38639,audio/newsqa-20736af2456544138d249e48a5c029de-c-5.wav
male2,M,train,38639,audio/newsqa-c4e82592cb1c4216809d11e0f50741f8-q-0.wav
male6,M,train,38639,audio/newsqa-fc8d267a54e44406be4694b53c039d46-q-0.wav
male4,M,train,38639,audio/quac-C_d9807d9db24f4a20a14dd5ca3b11f024_1_q#8-q-0.wav
male27,M,train,38639,audio/newsqa-6f56ea95ebd744488e896091d4290ced-q-0.wav
male25,M,train,40125,audio/quac-C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#3-c-3.wav
male8,M,train,40125,audio/newsqa-508a661cf91e4e4aa3c6c3ac5db88b99-q-0.wav
male22,M,train,40125,audio/newsqa-5fe0a546e8c144d4a73d0fb1aa9f0d4d-q-0.wav
male4,M,train,40125,audio/quac-C_898087a45105402ab04da342233b1341_1_q#7-q-0.wav
male4,M,train,40125,audio/newsqa-d1e80027098f43d4b3e380955cf8dfbe-q-0.wav
female8,F,train,41611,audio/newsqa-d2535331646b4acaa85a8672eb049205-q-0.wav
female17,F,train,41611,audio/quac-C_ae03fafc4b924bbf895654156aa0f02b_1_q#2-c-17.wav
female17,F,train,41611,audio/quac-C_004c14b6267243c39f204d73fbdc073f_0_q#10-q-0.wav
male8,M,train,43097,audio/quac-C_207b6af621e445289ae79262dfc3f3cb_0_q#1-c-8.wav
male9,M,train,43097,audio/newsqa-2ff36d053bca4464a233578bdd1b87d4-c-9.wav
male9,M,train,43097,audio/quac-C_d164bbd963654c10a11cdc41c19a9a4a_0_q#0-q-0.wav
male19,M,train,43097,audio/quac-C_832f2e97a5904aedb1119f92aade048f_0_q#3-c-9.wav
female2,F,train,43097,audio/newsqa-fe9356091d624fb0be50f4cb6816dca3-q-0.wav
female9,F,train,44583,audio/quac-C_98439b45914b420e81bef99afb657b71_0_q#3-q-0.wav
male25,M,train,46069,audio/quac-C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#3-c-4.wav
male4,M,train,46069,audio/newsqa-281922a30be74a8aa1672b3753c82eeb-q-0.wav
female5,F,train,46069,audio/newsqa-a9ecb9210f9c4d9cbde354cccf03c301-q-0.wav
female17,F,train,46069,audio/quac-C_ae03fafc4b924bbf895654156aa0f02b_1_q#2-c-16.wav
female17,F,train,46069,audio/newsqa-9247a3a923de4d08bfbb7e573797fa20-q-0.wav
male8,M,train,47555,audio/quac-C_390c25aac4994794a0f2088998cb9c78_0_q#2-q-0.wav
male8,M,train,47555,audio/quac-C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#3-q-0.wav
male22,M,train,47555,audio/quac-C_25aefa033eb6467eaa1387cbee0e692b_1_q#3-q-0.wav
male4,M,train,47555,audio/quac-C_850d3bec308b443a818eb036ac01589b_0_q#2-q-0.wav
female5,F,train,47555,audio/newsqa-5c91bde2488e447b92b48e3bccb0d186-q-0.wav
female8,F,train,47555,audio/squad-571095a8a58dae1900cd6a76-c-8.wav
male5,M,train,49041,audio/quac-C_9a2703c8819c41fc85342cccff2957f4_0_q#0-q-0.wav
male27,M,train,49041,audio/quac-C_cf6b66b77b1b4b06a5a5ced11a80d74f_1_q#0-q-0.wav
female14,F,train,49041,audio/quac-C_68dd4a1f4dcc43109ff9c6b20dd9d462_0_q#3-c-7.wav
female8,F,train,49041,audio/newsqa-7328fbe5412b4c97a05831ac1b099d9f-q-0.wav
male9,M,train,50527,audio/quac-C_0f0d62f07a4e4f50988b7f9a8d40c038_0_q#1-c-7.wav
male2,M,train,50527,audio/newsqa-f8c422c0505b46d39cd3739c51f8d4e3-q-0.wav
male22,M,train,50527,audio/quac-C_207b6af621e445289ae79262dfc3f3cb_0_q#10-q-0.wav
male22,M,train,50527,audio/quac-C_7d5560b23977415f9b2fda38a973e3b6_1_q#9-q-0.wav
male6,M,train,50527,audio/newsqa-cfdf1a944a684ffd9889ec85b0d42568-q-0.wav
female5,F,train,50527,audio/quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#4-c-2.wav
male8,M,train,52013,audio/newsqa-a0aa88470bca446ca035580601905bbe-c-5.wav
male22,M,train,52013,audio/newsqa-74ef7034d8104f938e4f2ecf51115852-c-6.wav
male23,M,train,52013,audio/quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-1.wav
male6,M,train,52013,audio/quac-C_58167e2e608c425bbb6d42b4b26f5419_0_q#5-q-0.wav
male4,M,train,52013,audio/newsqa-379c6edb10254e1583db66d8d6a19a70-q-0.wav
male27,M,train,52013,audio/squad-5ad035bd77cf76001a686e28-q-0.wav
female9,F,train,52013,audio/newsqa-017e63dce09045fdbd81d7e7d59a5bfa-q-0.wav
female1,F,train,53499,audio/quac-C_c5451d72257c4c3d96e8b03362f6e051_1_q#3-q-0.wav
female8,F,train,53499,audio/newsqa-89415c45d0f840528a6a0ffd1eb08747-q-0.wav
female2,F,train,53499,audio/quac-C_850d3bec308b443a818eb036ac01589b_0_q#1-q-0.wav
male6,M,train,54985,audio/newsqa-c6f8209065f74ff08f87de51878ecd30-q-0.wav
male6,M,train,54985,audio/quac-C_a4a81e05163b4289a304a52b590518ae_1_q#0-q-0.wav
female5,F,train,54985,audio/quac-C_f675ed1288a84e5baf8ed56232446c5c_0_q#2-c-14.wav
female8,F,train,54985,audio/quac-C_3e7c4d0e33504faeb7704c042414bc79_0_q#1-c-10.wav
male25,M,train,56471,audio/newsqa-1f980f275f3e4d189dd30cdac19cb606-c-6.wav
male25,M,train,56471,audio/newsqa-098818043abd481d81a7543568e8b84f-q-0.wav
male8,M,train,56471,audio/newsqa-d89f4ec2cb1e470698eca82af380164b-q-0.wav
male26,M,train,56471,audio/newsqa-4f17e00230ce452d95d46daf1524f303-q-0.wav
male9,M,train,56471,audio/newsqa-2ff36d053bca4464a233578bdd1b87d4-c-2.wav
male22,M,train,56471,audio/newsqa-74ef7034d8104f938e4f2ecf51115852-c-4.wav
female5,F,train,56471,audio/squad-5a820ebf31013a001a33516c-c-4.wav
female27,F,train,56471,audio/quac-C_912832bc46a5451381275ef4f5c70a33_1_q#0-q-0.wav
female9,F,train,56471,audio/squad-5ad2660dd7d075001a4291dc-q-0.wav
female9,F,train,56471,audio/newsqa-f71433833cb84eb4b23c1e0985a47cbc-q-0.wav
male8,M,train,57958,audio/squad-572ff07304bcaa1900d76ef9-q-0.wav
male26,M,train,57958,audio/quac-C_a5599a340b6d4c60a937ef78be07ea65_0_q#1-c-11.wav
male26,M,train,57958,audio/squad-5ad24eb1d7d075001a428c62-c-4.wav
male26,M,train,57958,audio/squad-5ad24eb1d7d075001a428c62-c-0.wav
male6,M,train,57958,audio/newsqa-eb07049dbdfa48799ac38ed74835bd48-q-0.wav
male24,M,train,57958,audio/quac-C_b7110139f6434af1a640af0396ead0c0_1_q#1-q-0.wav
male4,M,train,57958,audio/quac-C_8141f2ac97ad45569ddd35b42821fea3_0_q#2-q-0.wav
