mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
quac-C_6c922ff8e4a340d9bf2b85558179fdde_0_q#0-c-4.wav_newsqa-8225595a5fba480a9375425d85fffe2b-c-5.wav,C_6c922ff8e4a340d9bf2b85558179fdde_0_q#0,1.0,8225595a5fba480a9375425d85fffe2b,1.0
quac-C_420bfcf5d8b344a480ac654f08ee55ad_1_q#4-c-3.wav_newsqa-ea656f481df14ac7ba4676c68a236caa-c-2.wav,C_420bfcf5d8b344a480ac654f08ee55ad_1_q#4,0.0,ea656f481df14ac7ba4676c68a236caa,0.0
quac-C_58167e2e608c425bbb6d42b4b26f5419_0_q#5-q-0.wav_quac-C_004c14b6267243c39f204d73fbdc073f_0_q#6-c-12.wav,C_58167e2e608c425bbb6d42b4b26f5419_0_q#5,1.0,C_004c14b6267243c39f204d73fbdc073f_0_q#6,1.0
quac-C_8141f2ac97ad45569ddd35b42821fea3_0_q#2-c-11.wav_newsqa-0532e1a707f94ba6918962de9f90aa98-q-0.wav,C_8141f2ac97ad45569ddd35b42821fea3_0_q#2,1.0,0532e1a707f94ba6918962de9f90aa98,0.0
newsqa-f1bb199e517a432999c0465807f26f3b-c-9.wav_quac-C_a4a81e05163b4289a304a52b590518ae_1_q#2-c-10.wav,f1bb199e517a432999c0465807f26f3b,0.0,C_a4a81e05163b4289a304a52b590518ae_1_q#2,0.0
quac-C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#0-q-0.wav_newsqa-f4a54a35f0cf4ef1868f2551b2f110b3-c-1.wav,C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#0,0.0,f4a54a35f0cf4ef1868f2551b2f110b3,1.0
quac-C_5d024d0f9d5e431aa844c767ab6d26df_1_q#2-c-3.wav_newsqa-e7f45fd2fea645aaa5ef0f48ff0eb729-c-10.wav,C_5d024d0f9d5e431aa844c767ab6d26df_1_q#2,1.0,e7f45fd2fea645aaa5ef0f48ff0eb729,0.0
squad-5ad40af0604f3c001a3fffdf-c-6.wav_newsqa-0dea62ba217f462fb80c7b25e46565fc-c-2.wav,5ad40af0604f3c001a3fffdf,0.0,0dea62ba217f462fb80c7b25e46565fc,1.0
quac-C_0f0d62f07a4e4f50988b7f9a8d40c038_0_q#1-c-9.wav_squad-5ad24e50d7d075001a428c3c-c-0.wav,C_0f0d62f07a4e4f50988b7f9a8d40c038_0_q#1,1.0,5ad24e50d7d075001a428c3c,1.0
newsqa-2ff36d053bca4464a233578bdd1b87d4-c-1.wav_quac-C_c1573866a99f4b9393fe2b9f9f4ac94b_0_q#1-c-0.wav,2ff36d053bca4464a233578bdd1b87d4,1.0,C_c1573866a99f4b9393fe2b9f9f4ac94b_0_q#1,1.0
newsqa-fe9356091d624fb0be50f4cb6816dca3-c-9.wav_newsqa-02b9c2fd1023482bad0fccf9e2eb9149-c-7.wav,fe9356091d624fb0be50f4cb6816dca3,0.0,02b9c2fd1023482bad0fccf9e2eb9149,1.0
newsqa-d89f4ec2cb1e470698eca82af380164b-c-0.wav_newsqa-609766481d5f4109b3112de5a40ab381-c-6.wav,d89f4ec2cb1e470698eca82af380164b,1.0,609766481d5f4109b3112de5a40ab381,0.0
squad-5a7b079b21c2de001afe9cf9-c-0.wav_newsqa-fc8d267a54e44406be4694b53c039d46-q-0.wav,5a7b079b21c2de001afe9cf9,0.0,fc8d267a54e44406be4694b53c039d46,1.0
quac-C_25aefa033eb6467eaa1387cbee0e692b_1_q#3-c-2.wav_newsqa-02b9c2fd1023482bad0fccf9e2eb9149-c-3.wav,C_25aefa033eb6467eaa1387cbee0e692b_1_q#3,1.0,02b9c2fd1023482bad0fccf9e2eb9149,1.0
newsqa-9123e824a768475c80af10519ce8a9b3-c-4.wav_newsqa-eca342d9385b476ab764d1f682cd9856-c-6.wav,9123e824a768475c80af10519ce8a9b3,1.0,eca342d9385b476ab764d1f682cd9856,1.0
quac-C_9433ab2573e94bd18be86cb89cff3d7b_0_q#5-c-12.wav_quac-C_850d3bec308b443a818eb036ac01589b_0_q#1-c-8.wav,C_9433ab2573e94bd18be86cb89cff3d7b_0_q#5,1.0,C_850d3bec308b443a818eb036ac01589b_0_q#1,0.0
quac-C_850d3bec308b443a818eb036ac01589b_0_q#6-c-2.wav_quac-C_850d3bec308b443a818eb036ac01589b_0_q#1-q-0.wav,C_850d3bec308b443a818eb036ac01589b_0_q#6,0.0,C_850d3bec308b443a818eb036ac01589b_0_q#1,0.0
newsqa-5b5d8369253048b9b1d0ded9e2005015-c-5.wav_quac-C_6c922ff8e4a340d9bf2b85558179fdde_0_q#0-c-9.wav,5b5d8369253048b9b1d0ded9e2005015,0.0,C_6c922ff8e4a340d9bf2b85558179fdde_0_q#0,1.0
newsqa-e7f45fd2fea645aaa5ef0f48ff0eb729-c-0.wav_newsqa-40a63c699b97466dbd58fdf1d76369e5-c-0.wav,e7f45fd2fea645aaa5ef0f48ff0eb729,0.0,40a63c699b97466dbd58fdf1d76369e5,0.0
squad-572a10cd6aef051400155222-c-2.wav_newsqa-2ff36d053bca4464a233578bdd1b87d4-c-12.wav,572a10cd6aef051400155222,1.0,2ff36d053bca4464a233578bdd1b87d4,1.0
quac-C_0f0d62f07a4e4f50988b7f9a8d40c038_0_q#1-c-4.wav_quac-C_3e7c4d0e33504faeb7704c042414bc79_0_q#1-c-0.wav,C_0f0d62f07a4e4f50988b7f9a8d40c038_0_q#1,1.0,C_3e7c4d0e33504faeb7704c042414bc79_0_q#1,0.0
quac-C_c5451d72257c4c3d96e8b03362f6e051_1_q#3-c-1.wav_squad-571a50df4faf5e1900b8a960-c-3.wav,C_c5451d72257c4c3d96e8b03362f6e051_1_q#3,0.0,571a50df4faf5e1900b8a960,0.0
