mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
quac-C_9ddd9c44b44a41579fc75b3070872975_1_q#5-q-0.wav_newsqa-83c7a684f681412781bd35ba79028b31-c-4.wav,C_9ddd9c44b44a41579fc75b3070872975_1_q#5,1.0,83c7a684f681412781bd35ba79028b31,0.0
squad-5ad24eb1d7d075001a428c62-c-10.wav_quac-C_9433ab2573e94bd18be86cb89cff3d7b_0_q#2-c-2.wav,5ad24eb1d7d075001a428c62,1.0,C_9433ab2573e94bd18be86cb89cff3d7b_0_q#2,0.0
squad-5728659f4b864d190016498d-c-4.wav_newsqa-b020254fcd674482ade2f033be2149db-c-7.wav,5728659f4b864d190016498d,0.0,b020254fcd674482ade2f033be2149db,0.0
squad-5a820ebf31013a001a33516c-c-0.wav_newsqa-90043d64e1394d5898e1a714d408fc00-c-5.wav,5a820ebf31013a001a33516c,1.0,90043d64e1394d5898e1a714d408fc00,0.0
squad-5a0c96fbf5590b0018dab487-q-0.wav_quac-C_f3296ffccc0141288e93452f8a063aff_1_q#3-c-7.wav,5a0c96fbf5590b0018dab487,1.0,C_f3296ffccc0141288e93452f8a063aff_1_q#3,0.0
quac-C_867b2cb2cb1a45f4ac34f6ba35cba82d_1_q#2-c-0.wav_newsqa-0532e1a707f94ba6918962de9f90aa98-c-8.wav,C_867b2cb2cb1a45f4ac34f6ba35cba82d_1_q#2,0.0,0532e1a707f94ba6918962de9f90aa98,0.0
newsqa-6f56ea95ebd744488e896091d4290ced-c-9.wav_squad-5acfea9277cf76001a68648a-q-0.wav,6f56ea95ebd744488e896091d4290ced,1.0,5acfea9277cf76001a68648a,1.0
quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#4-c-17.wav_quac-C_832f2e97a5904aedb1119f92aade048f_0_q#3-c-3.wav,C_1873c4f81ac24c6980a3235172ccebab_1_q#4,1.0,C_832f2e97a5904aedb1119f92aade048f_0_q#3,1.0
quac-C_a5599a340b6d4c60a937ef78be07ea65_0_q#1-c-9.wav_quac-C_6ddf50a14de94ac9991786264f48a22f_0_q#5-c-9.wav,C_a5599a340b6d4c60a937ef78be07ea65_0_q#1,0.0,C_6ddf50a14de94ac9991786264f48a22f_0_q#5,0.0
newsqa-5c91bde2488e447b92b48e3bccb0d186-q-0.wav_quac-C_867b2cb2cb1a45f4ac34f6ba35cba82d_1_q#2-c-1.wav,5c91bde2488e447b92b48e3bccb0d186,0.0,C_867b2cb2cb1a45f4ac34f6ba35cba82d_1_q#2,0.0
