mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
quac-C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#4-c-3.wav_newsqa-a0aa88470bca446ca035580601905bbe-c-1.wav,C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#4,1.0,a0aa88470bca446ca035580601905bbe,1.0
newsqa-d1e80027098f43d4b3e380955cf8dfbe-c-10.wav_quac-C_c3cfc709d47846159c737bbe00494fc5_1_q#4-c-2.wav,d1e80027098f43d4b3e380955cf8dfbe,1.0,C_c3cfc709d47846159c737bbe00494fc5_1_q#4,1.0
newsqa-55c19ad4ee86448c8217d19e4bb92147-c-8.wav_squad-5ad0421177cf76001a686f15-c-2.wav,55c19ad4ee86448c8217d19e4bb92147,0.0,5ad0421177cf76001a686f15,0.0
newsqa-df15cc84e71f43bea87947373ea295f7-c-9.wav_squad-5ad4b0f25b96ef001a109dbe-c-0.wav,df15cc84e71f43bea87947373ea295f7,0.0,5ad4b0f25b96ef001a109dbe,1.0
squad-5a3e307f378766001a0024d9-c-5.wav_quac-C_dde55c20816440b4a7ed746c8daf6694_0_q#4-c-9.wav,5a3e307f378766001a0024d9,0.0,C_dde55c20816440b4a7ed746c8daf6694_0_q#4,0.0
quac-C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#4-c-7.wav_squad-572fe9b3947a6a140053cde1-c-1.wav,C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#4,1.0,572fe9b3947a6a140053cde1,1.0
quac-C_dde55c20816440b4a7ed746c8daf6694_0_q#4-c-10.wav_quac-C_8f3ce33d779d4febb276942f11bd3df5_0_q#6-c-0.wav,C_dde55c20816440b4a7ed746c8daf6694_0_q#4,0.0,C_8f3ce33d779d4febb276942f11bd3df5_0_q#6,1.0
squad-571cac5d5efbb31900334dd1-q-0.wav_newsqa-ab8bfa3c577442e3ae402a103624c051-c-1.wav,571cac5d5efbb31900334dd1,1.0,ab8bfa3c577442e3ae402a103624c051,0.0
newsqa-e1f277701cf14958889402082a470f45-q-0.wav_newsqa-60f57a3c66c24abf8851a2aee8002474-c-4.wav,e1f277701cf14958889402082a470f45,0.0,60f57a3c66c24abf8851a2aee8002474,0.0
newsqa-903369ea23b247259845820e45d1448d-c-7.wav_newsqa-df15cc84e71f43bea87947373ea295f7-c-8.wav,903369ea23b247259845820e45d1448d,0.0,df15cc84e71f43bea87947373ea295f7,0.0
quac-C_32470d16c0dc45efbbda2691ac3b134d_1_q#6-c-0.wav_squad-572815d9ff5b5019007d9cbe-c-1.wav,C_32470d16c0dc45efbbda2691ac3b134d_1_q#6,0.0,572815d9ff5b5019007d9cbe,0.0
quac-C_93a499236cd14111bf5b68fd247eb9ca_0_q#0-c-11.wav_quac-C_7caba58103d44db9a549c63600159c75_1_q#6-c-1.wav,C_93a499236cd14111bf5b68fd247eb9ca_0_q#0,1.0,C_7caba58103d44db9a549c63600159c75_1_q#6,1.0
quac-C_eced216a218e42dc8e8279a3f1e6b977_1_q#3-c-11.wav_newsqa-2d5d781dd4a2462586b948584ea07bb4-c-2.wav,C_eced216a218e42dc8e8279a3f1e6b977_1_q#3,1.0,2d5d781dd4a2462586b948584ea07bb4,1.0
squad-5ad2b882d7d075001a42a042-q-0.wav_quac-C_5d024d0f9d5e431aa844c767ab6d26df_1_q#6-c-6.wav,5ad2b882d7d075001a42a042,0.0,C_5d024d0f9d5e431aa844c767ab6d26df_1_q#6,0.0
quac-C_7d5560b23977415f9b2fda38a973e3b6_1_q#9-c-8.wav_squad-5ad3a266604f3c001a3fea29-c-0.wav,C_7d5560b23977415f9b2fda38a973e3b6_1_q#9,1.0,5ad3a266604f3c001a3fea29,0.0
squad-5a3e307f378766001a0024d9-c-3.wav_squad-5ad2660dd7d075001a4291dc-c-3.wav,5a3e307f378766001a0024d9,0.0,5ad2660dd7d075001a4291dc,0.0
newsqa-29f7d583cc204d3b8b269c80a4fd6078-c-6.wav_quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#0-c-0.wav,29f7d583cc204d3b8b269c80a4fd6078,1.0,C_1873c4f81ac24c6980a3235172ccebab_1_q#0,0.0
quac-C_c3cfc709d47846159c737bbe00494fc5_1_q#2-c-3.wav_quac-C_207b6af621e445289ae79262dfc3f3cb_0_q#0-c-5.wav,C_c3cfc709d47846159c737bbe00494fc5_1_q#2,0.0,C_207b6af621e445289ae79262dfc3f3cb_0_q#0,1.0
newsqa-4f17e00230ce452d95d46daf1524f303-c-1.wav_quac-C_8f1052a909924795a456beaa053ffe22_0_q#5-c-8.wav,4f17e00230ce452d95d46daf1524f303,1.0,C_8f1052a909924795a456beaa053ffe22_0_q#5,1.0
quac-C_7d5560b23977415f9b2fda38a973e3b6_0_q#10-c-9.wav_squad-57337ddc4776f41900660bbe-q-0.wav,C_7d5560b23977415f9b2fda38a973e3b6_0_q#10,1.0,57337ddc4776f41900660bbe,1.0
quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-2.wav_newsqa-777d572acbd449ba91d30972acb47380-c-8.wav,C_1873c4f81ac24c6980a3235172ccebab_1_q#1,0.0,777d572acbd449ba91d30972acb47380,1.0
quac-C_7d5560b23977415f9b2fda38a973e3b6_0_q#9-c-6.wav_quac-C_dde55c20816440b4a7ed746c8daf6694_0_q#4-c-1.wav,C_7d5560b23977415f9b2fda38a973e3b6_0_q#9,0.0,C_dde55c20816440b4a7ed746c8daf6694_0_q#4,0.0
quac-C_5d024d0f9d5e431aa844c767ab6d26df_1_q#6-c-3.wav_squad-5a3e307f378766001a0024d9-c-1.wav,C_5d024d0f9d5e431aa844c767ab6d26df_1_q#6,0.0,5a3e307f378766001a0024d9,0.0
squad-57109180a58dae1900cd6a43-c-2.wav_newsqa-67947c3406124d84b4bfaebccbda55e0-c-8.wav,57109180a58dae1900cd6a43,0.0,67947c3406124d84b4bfaebccbda55e0,0.0
quac-C_7caba58103d44db9a549c63600159c75_1_q#6-c-5.wav_quac-C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#0-c-3.wav,C_7caba58103d44db9a549c63600159c75_1_q#6,1.0,C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#0,0.0
quac-C_dde55c20816440b4a7ed746c8daf6694_0_q#4-c-4.wav_quac-C_850d3bec308b443a818eb036ac01589b_0_q#2-c-8.wav,C_dde55c20816440b4a7ed746c8daf6694_0_q#4,0.0,C_850d3bec308b443a818eb036ac01589b_0_q#2,1.0
quac-C_7d9eebd9b0e548f08eb64cbdf717df35_1_q#2-c-0.wav_quac-C_d9807d9db24f4a20a14dd5ca3b11f024_1_q#8-c-8.wav,C_7d9eebd9b0e548f08eb64cbdf717df35_1_q#2,0.0,C_d9807d9db24f4a20a14dd5ca3b11f024_1_q#8,1.0
quac-C_b82cebc289f04e378fc6a55461067aa4_1_q#3-c-4.wav_newsqa-29f7d583cc204d3b8b269c80a4fd6078-c-9.wav,C_b82cebc289f04e378fc6a55461067aa4_1_q#3,0.0,29f7d583cc204d3b8b269c80a4fd6078,1.0
quac-C_9eeb108353bb49ce979844fb47b36ead_0_q#2-c-6.wav_newsqa-b330c83ec7af4474ab20db99cecf5043-c-0.wav,C_9eeb108353bb49ce979844fb47b36ead_0_q#2,1.0,b330c83ec7af4474ab20db99cecf5043,0.0
newsqa-88dfeb6585794ace814f71d01a01b034-c-8.wav_squad-572815d9ff5b5019007d9cbe-c-0.wav,88dfeb6585794ace814f71d01a01b034,0.0,572815d9ff5b5019007d9cbe,0.0
newsqa-f4a54a35f0cf4ef1868f2551b2f110b3-q-0.wav_newsqa-0f36c8a2974b4b90965f8efe8e2b4aa9-c-9.wav,f4a54a35f0cf4ef1868f2551b2f110b3,1.0,0f36c8a2974b4b90965f8efe8e2b4aa9,1.0
quac-C_8812f60078f14c69a724af179e567d72_1_q#8-c-7.wav_quac-C_7d5560b23977415f9b2fda38a973e3b6_0_q#10-c-11.wav,C_8812f60078f14c69a724af179e567d72_1_q#8,0.0,C_7d5560b23977415f9b2fda38a973e3b6_0_q#10,1.0
quac-C_8812f60078f14c69a724af179e567d72_1_q#8-c-9.wav_squad-5ad24840d7d075001a428b5f-c-0.wav,C_8812f60078f14c69a724af179e567d72_1_q#8,0.0,5ad24840d7d075001a428b5f,1.0
quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-14.wav_quac-C_7d5560b23977415f9b2fda38a973e3b6_0_q#5-c-15.wav,C_1873c4f81ac24c6980a3235172ccebab_1_q#1,0.0,C_7d5560b23977415f9b2fda38a973e3b6_0_q#5,0.0
quac-C_59b4f759e2b04a0181b5219f7b5afdb4_0_q#6-c-6.wav_quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-15.wav,C_59b4f759e2b04a0181b5219f7b5afdb4_0_q#6,0.0,C_1873c4f81ac24c6980a3235172ccebab_1_q#1,0.0
quac-C_7d5560b23977415f9b2fda38a973e3b6_1_q#9-c-0.wav_quac-C_7d5560b23977415f9b2fda38a973e3b6_1_q#5-c-8.wav,C_7d5560b23977415f9b2fda38a973e3b6_1_q#9,1.0,C_7d5560b23977415f9b2fda38a973e3b6_1_q#5,0.0
quac-C_ae03fafc4b924bbf895654156aa0f02b_1_q#2-q-0.wav_quac-C_1951db25f6204288ab8deda833d0c6de_0_q#5-c-4.wav,C_ae03fafc4b924bbf895654156aa0f02b_1_q#2,0.0,C_1951db25f6204288ab8deda833d0c6de_0_q#5,0.0
